CRS,Tiploc,Description,Stannox
,POMOHSP,PORTSMOUTH HARBOUR - SHIP,86311
,POMOPLD,PORTSMOUTH PORTSEA LANDING,86311
,PHBR61,PORTSMOUTH HBR SIG HT61,86312
PMS,PSEA,PORTSMOUTH & SOUTHSEA,86313
XGL,PSEADCS,PORTSMOUTH & S'SEA D.C.S,86314
,PSEABKR,PORTSMOUTH & S.S. BACK  RD,86315
,PSEA571,PORTSMTH & S'SEA SIG HT571,86316
,FRAT553,FRATTON SIGNAL 553,86317
,FRAT460,FRATTON SIGNAL 460,86318
,FRAT554,FRATTON SHUNT SIGNAL HT554,86319
,FRATTNY,FRATTON S.S.,86320
FTN,FRATTON,FRATTON,86321
,FRATTSH,FRATTON STAFF HALT,86322
XFR,FRATCSD,FRATTON C.S.D.,86323
,FRATNCS,FRATTON C.H.S.,86323
,FRATTMD,FRATTON T&R.S.M.D,86323
,FRATTOY,FRATTON OLD YARD,86323
,PSEA573,PORTSMTH & S'SEA SIG HT573,86324
,FRATDFP,FRATTON DEPOT F.P.,86327
,FRATTNE,FRATTON EAST,86328
HLS,HILSEA,HILSEA,86332
,PCRKJN,PORTCREEK JN,86333
,FRLNGTJ,FARLINGTON JN,86334
,HAVA500,HAVANT SIGNAL 500,86335
,HAVA501,HAVANT SIGNAL HT 501,86336
,HAVA503,HAVANT SIGNAL HT 503,86337
,HAVAS28,HAVANT SIGNAL 28,86338
BDH,BDHMPTN,BEDHAMPTON,86339
HAV,HAVANT,HAVANT,86341
WBL,WRBLNGT,WARBLINGTON,86342
EMS,EMSWTH,EMSWORTH,86343
SOB,SBOURNE,SOUTHBOURNE,86353
NUT,NUTBORN,NUTBOURNE,86363
BOH,BOSHAM,BOSHAM,86373
FSB,FSHBORN,FISHBOURNE (SUSSEX),86383
,CHCHGBR,CHICHESTER RECP (GBRF),86421
,CHCHFHH,CHICHESTER RECP. (FLHH),86422
,CHCYSTR,CHICHESTER YD STONE TRM RD,86423
CCH,CHCHSTR,CHICHESTER,86424
,CHCHSTY,CHICHESTER RECP.,86425
,CHCHRC2,CHICHESTER RECEPTION NO 2,86426
,CHCHSOS,CHICHESTER OIL SIDINGS,86427
,CHCHDBC,CHICHESTER RECP (DBC),86428
,DRYTON,DRAYTON,86429
,BOGNBAL,BOGNOR REGIS (BALLAST),86440
XBN,BOGNCHS,BOGNOR REGIS C.H.S.,86441
,BOGNMR,BOGNOR REGIS MIDDLE ROAD,86441
BOG,BOGNORR,BOGNOR REGIS,86441
,BOGNSID,BOGNOR REGIS SIDINGS,86443
,BOGNS55,BOGNOR REGIS SIGNAL BR55,86444
,BRHMUS,BARNHAM UP SIDINGS,86450
BAA,BRHM,BARNHAM,86451
,BRHMDS,BARNHAM DOWN SDG,86452
,BRHM122,BARNHAM SIGNAL BH122,86453
,BRHM115,BARNHAM SIGNAL BH115,86454
FOD,FORD,FORD,86461
,FORDJN,FORD JUNCTION,86465
LIT,LTLHMPT,LITTLEHAMPTON,86471
,LTLHOSH,LITTLEHAMPTON O. SHED,86472
,LTLHSHD,LITTLEHAMPTON SHED,86472
,LTLHUSD,LITTLEHAMPTON UP SDG,86472
,LTLH11,LITTLEHAMPTON SIGNAL LH11,86473
,LTLHMJN,LITTLEHAMPTON JUNCTION,86474
,LTLHUPS,LITTLEHAMPTON UP SDGS 1&2,86475
,LTLHWSR,LITTLEHAMPTON WASH ROAD,86476
SOA,SOTPKWY,SOUTHAMPTON AIRPORT PARKWY,86495
SWG,SWYTHLN,SWAYTHLING,86497
SDN,STDENYS,ST DENYS,86499
,STDE904,ST DENYS SIGNAL E904,86500
,STDE704,ST DENYS SIGNAL E704,86501
,STDE706,ST DENYS SIGNAL E706,86502
,NTHMUY,SOUTHAMPTON UP YARD,86503
,NTHMFL,SOUTHAMPTON UP YARD (FL),86504
,SOTONDY,SOUTHAMPTON DOWN YARD,86506
,NTHMRCL,NORTHAM DEPOT RECEPT LINE,86507
XFS,NTHMDEP,NORTHAM C.S.D.,86508
,NTHMDSH,NORTHAM DEPOT STAFF HALT,86509
,NTHM842,NORTHAM SIG. E842,86511
,NTHMJN,NORTHAM JN,86513
,SOTONDG,SOUTHAMPTON DOCK GATES,86514
,SOTNHVP,SOUTHAMPTON HOVERPORT,86515
XSN,SOTDED,SOUTHAMPTON EASTERN DOCKS,86516
,SOTO930,SOUTHAMPTON SIGNAL E930,86519
,SOTO942,SOUTHAMPTON SIGNAL E942,86519
SOU,SOTON,SOUTHAMPTON CENTRAL,86520
,SOTONB,SOUTHAMPTON DOWN BAY,86520
,SOTONBS,SOUTHAMPTON DOWN BAY SDG,86520
,SOTONSF,SOUTHAMPTON STN FORECOURT,86520
,SOTO740,SOUTHAMPTON SIGNAL E740,86521
XFX,SOTOUGL,SOUTHAMPTON UP GOODS LOOP,86522
XFW,SOTODGL,SOUTHAMPTON DOWN LOOP,86524
,MBRKCLJ,CHURCH LANE JUNCTION,86525
,MBRKDE,MILLBROOK DOCK ENTRANCE,86526
MBK,MBRK,MILLBROOK (HANTS),86527
,MBRK850,MILLBROOK SIG. E850,86527
,MBRKDX,MILLBROOK DOCK EXIT,86528
,MBRKFLT,MILLBROOK HANTS..F.L.T.,86529
,SOTOEWS,SOUTHAMPTON M.C.T. EWS,86530
,SOTOMCT,SOUTHAMPTON M.C.T.,86531
,SOTOLHS,SOUTHAMPTON M.C.T. L.H.S.,86532
,MBRK958,MILLBROOK SIG E958,86534
,MBRK758,MILLBROOK SIG. E758,86535
,MBRK942,MILLBROOK SIG E942,86536
,MBRK955,MILLBROOK SIG E955,86537
,MBRKGBR,MILLBROOK HANTS FLT GBRF,86538
,SOTDNLU,SOUTHAMPTON W DOCKS - NLU,86601
XSK,SOTDWD,SOUTHAMPTON WESTERN DOCKS,86602
,SOTDFLT,SOUTHAMPTON DOCKS F.L.T.,86603
,SOTD107,SOTON W DOCKS BERTH 109,86604
,SOTDBH,SOTON DKS BERKELEY HANDLNG,86605
,SOTDWGB,SOUTHAMPTON W DOCKS (GBRF),86607
,REDBDBS,REDBRIDGE SDGS DBC,86701
,REDBSFL,REDBRIDGE SDGS - FRTLINER,86702
RDB,REDBDGE,REDBRIDGE,86703
,REDBJN,REDBRIDGE JUNCTION,86704
,REDB973,REDBRIDGE SIGNAL E973,86705
,MRTMEJN,MARITIME EAST JUNCTION,86706
,MRTMWJN,MARITIME WEST JUNCTION,86707
,REDBRCS,REDBRIDGE RECEPTION SIDING,86708
,TOTTGBR,TOTTON YARD GBRF,86710
TTN,TOTTON,TOTTON,86711
,TOTTDCR,TOTTON (D&CR),86712
,TOTTYD,TOTTON YARD,86713
,TOTTYFL,TOTTON YARD (FL),86714
,TOTTW,TOTTON WEST,86716
,MCHWMOD,MARCHWOOD M.O.D.,86721
,MCHWOOD,MARCHWOOD,86722
,MCHWFLT,MARCHWOOD F.L.T.,86723
,MCHWSMC,MARCHWOOD SMC RP,86724
,MCHWGBF,MARCHWOOD MOD GBRF,86725
,FWLYGF,FAWLEY GROUND FRAME,86807
,FWLY,FAWLEY,86812
,FWLYESO,FAWLEY ESSO,86812
,FWLYFHH,FAWLEY ESSO FHH,86816
ANF,LYNDHRD,ASHURST NEW FOREST,86893
BEU,BLIEURD,BEAULIEU ROAD,86896
BCU,BKNHRST,BROCKENHURST,86901
,BKNHUPS,BROCKENHURST UP SIDING,86902
,BKNHDS,BROCKENHURST DOWN SIDING,86903
,BKNH16,BROCKENHURST SIGNAL BH16,86904
,BKNH62,BROCKENHURST SIGNAL BH62,86904
LYT,LMTNTWN,LYMINGTON TOWN,86907
LYP,LMTNPIR,LYMINGTON PIER,86908
SWY,SWAY,SWAY,86909
NWM,NMILTON,NEW MILTON,86911
HNA,HINTONA,HINTON ADMIRAL,86913
CHR,CHRISTC,CHRISTCHURCH,86915
POK,POKSDWN,POKESDOWN,86917
,BOMO011,BOURNEMOUTH SIG BC1011,86920
BMH,BOMO,BOURNEMOUTH,86921
,BOMOEWS,BOURNEMOUTH T&RS DEPOT,86922
,BOMOCS,BOURNEMOUTH C.S.D.,86923
XBM,BOMOCSD,BOURNEMOUTH T&R.S.M.D,86923
,BOMOMS,BOURNEMOUTH MIDDLE SDGS,86924
,BOMOUPS,BOURNEMOUTH UP SIDING,86925
,BOMO21,BOURNEMOUTH SIGNAL 21,86926
BSM,BRANKSM,BRANKSOME,86927
BHA,BOMOHAP,BOURNEMOUTH HURN AIRPORT,86928
PKS,PSTONE,PARKSTONE (DORSET),86929
,TWCK121,TWICKENHAM SIGNAL BEF2121,86931
,TWCK123,TWICKENHAM SIGNAL BEF2123,86932
,POOL210,POOLE SIGNAL PW5210,86933
,POOL200,POOLE SIGNAL PW5200,86934
PFT,POLEFT,POOLE FERRY TERMINAL,86935
POO,POOLE,POOLE,86935
XFT,POOLESS,POOLE S. S.,86936
,POOLESB,POOLE SIGNAL BOX,86937
,SHEP537,SHEPPERTON SIGNAL BEF2537,86938
,FULW513,FULWELL SIGNAL BEF2513,86939
,RICH105,RICHMOND SIGNAL BEF2105,86940
,SHCK449,SHACKLEGATE JN SIGNAL 2449,86941
,SHCK467,SHACKLEGATE JN SIGNAL 2467,86942
,SHCK508,SHACKLEGATE JN SIGNAL 2508,86943
,STRW257,STRAWBERRY HILL SIG 2457,86944
,TWCK130,TWICKENHAM SIGNAL BEF2130,86945
,WARH242,WAREHAM SIGNAL PW5242,86946
,WOOL255,WOOL SIGNAL PW5255,86947
,WOOL264,WOOL SIGNAL PW5264,86948
,WOOL659,WOOL SIGNAL PW5659,86949
,HMWTPHC,HAMWORTHY GOODS POOLE H.C.,86950
HAM,HMWTHY,HAMWORTHY,86951
HEH,SWNAHNH,HERSTON HALT (SWANAGE R),86952
,HMWTBCI,HAMWORTHY B.C.I,86953
NOD,SWNANDN,NORDEN (SWANAGE R),86954
CFC,SWNACFC,CORFE CASTLE (SWANAGE R),86955
HAR,SWNAHMC,HARMAN'S CROSS (SWANAGE R),86956
,SWNLMD,SWANAGE LMD (GBRf),86957
,HMWTFHH,HAMWORTHY HANSON AGGS (FH),86958
,HMWTTC,HAMWORTHY T.C.,86959
HOL,HOLTONH,HOLTON HEATH,86961
,WARHUS,WAREHAM UP SIDINGS,86962
XGA,WARHDS,WAREHAM DOWN SIDING,86963
WRM,WARHAM,WAREHAM,86964
,WORGRTJ,WORGRET JN,86965
,WARH22,WAREHAM SIGNAL WR22,86966
,FRZBGCE,FURZEBROOK OIL SIDINGS,86967
SGE,SWNAGE,SWANAGE,86969
,WOOLFHH,WOOL MOD SDG FLHH,86970
WOO,WOOL,WOOL,86971
,WOOLMOD,WOOL MOD SIDING,86972
,DRCHCE,DORCHESTER SOUTH ISU (CE),86973
,WNFRTHS,WINFRITH SDGS,86974
MTN,MORETON,MORETON (DORSET),86975
DCH,DRCHS,DORCHESTER SOUTH,86976
DCW,DRCHW,DORCHESTER WEST,86977
UPW,UPWEY,UPWEY,86978
,DRCHFHH,DORCHESTER SOUTH FLHH,86979
,DRCHJN,DORCHESTER JN,86980
XWJ,WEYMOCS,WEYMOUTH C.H.S.,86981
WEY,WEYMTH,WEYMOUTH,86981
XGB,WEYMJS,WEYMOUTH JERSEY SIDING,86982
WYQ,WEYMTHQ,WEYMOUTH QUAY,86983
,WOOLGBR,WOOL MOD SIDING GBRF,86984
,DRCHGBR,DORCHESTER SOUTH SDG GBR,86985
,WOOLS1,WOOL SIGNAL S1,86986
,WEYMJUB,WEYMOUTH JUBILEE SDG,86987
,WEYMTHJ,WEYMOUTH JN,86988
,WEYM194,WEYMOUTH SIGNAL DR 194,86989
WTI,WINETGL,WINNERSH TRIANGLE,87001
EAR,ERLY,EARLEY,87002
WNS,WINERSH,WINNERSH,87003
WKM,WOKNGHM,WOKINGHAM,87004
XGG,WOKNDS,WOKINGHAM DOWN SIDING,87005
CRN,CRWTHRN,CROWTHORNE,87006
,WOKN14,WOKINGHAM SIGNAL WM14,87007
,WOKN15,WOKINGHAM SIGNAL WM15,87007
SND,SNDHRST,SANDHURST,87008
BAW,BCKWATR,BLACKWATER,87009
FNN,FRBRNTH,FARNBOROUGH NORTH,87010
,BCKW530,BLACKWATER SIGNAL WM530,87011
NCM,NTHCAMP,NORTH CAMP,87012
,ALDRSJS,ALDERSHOT SOUTH JN,87013
ASH,ASHH,ASH,87014
,ASHH331,ASH SIGNAL GD 1331,87015
,WANB199,WANBOROUGH SIGNAL GD942,87016
WAN,WANBRO,WANBOROUGH,87016
,FARNF30,FARNHAM SIGNAL FN30,87017
ARF,ALRSFRD,ALRESFORD,87018
ROP,ROPLEY,ROPLEY,87019
,FARN383,FARNHAM 1383,87020
AON,ALTON,ALTON,87021
BTY,BNTEY,BENTLEY,87024
,HLBNOIL,HOLYBOURNE KELT EXPLRATN,87025
FNH,FARNHAM,FARNHAM,87026
,FARNF3,FARNHAM SIGNAL FN3,87027
XFM,FARNHMD,FARNHAM C.S.D.,87028
XFN,FARNEMU,FARNHAM EMU SIDINGS,87029
,HLBN402,HOLYBOURNE O T SIG FN402,87030
AHT,ALDRSHT,ALDERSHOT,87031
,FARNDRP,FARNHAM DEPOT RECEPTION RO,87032
,FELTDEP,FELTHAM DEPOT,87033
,HLBNSDG,HOLYBOURNE OIL SDGS (GBRF),87034
,FARN438,FARNHAM SIGNAL WK438,87035
,FARN445,FARNHAM SIGNAL WK445,87036
,ALDRSJN,ALDERSHOT NORTH JN,87037
,ALDR371,ALDERSHOT SIGNAL WK1371,87038
,ALDR378,ALDERSHOT SIGNAL WK1378,87039
,ASHV408,ASH VALE SIGNAL WK408,87040
AHV,ASHVALE,ASH VALE,87041
,FELTALE,FELTHAM ARR RD LONDON END,87042
,PRBR225,PIRBRIGHT JN SIGNAL WK392,87043
,PRBR228,PIRBRIGHT JN SIGNAL WK395,87043
,PRBRITJ,PIRBRIGHT JN,87043
,FELTACE,FELTHAM ARR RD COUNTRY END,87044
WPL,WRPLSDN,WORPLESDON,87045
,GUIL305,GUILDFORD SIGNAL GD1305,87046
,GUIL301,GUILDFORD SIGNAL GD1301,87047
,GUIL635,GUILDFORD SIGNAL GD635,87048
,GUILDFR,GUILDFORD NORTH BOX SDGS,87049
,GUIL826,GUILDFORD SIGNAL 826,87050
XFQ,GUILDCS,GUILDFORD U.C.H.S.,87051
GLD,GUILDFD,GUILDFORD,87052
,GUILDFY,GUILDFORD F.D.,87052
,GUILDUR,GUILDFORD UP RECP,87053
FNC,FRNCMB,FARNCOMBE,87055
XEJ,EFNGSHD,EFFINGHAM JN. C.H.S.,87056
GOD,GDLMING,GODALMING,87057
,REIGCHS,REIGATE C.H.S.,87058
MLF,MLFORD,MILFORD (SURREY),87059
,HASL15,HASLEMERE SIGNAL EW15,87060
WTY,WITLEY,WITLEY,87061
HSL,HASLEMR,HASLEMERE,87062
,HASL23,HASLEMERE SIGNAL EW23,87063
LIP,LIPHOOK,LIPHOOK,87064
LIS,LISS,LISS,87065
PTR,PTRSFLD,PETERSFIELD,87066
RLN,RWLNDSC,ROWLANDS CASTLE,87067
LRD,LRDGFD,LONDON ROAD (GUILDFORD),87068
CLA,CLANDON,CLANDON,87069
HSY,HRSLEY,HORSLEY,87070
EFF,EFNGHMJ,EFFINGHAM JUNCTION,87071
,EFNGS98,EFFINGHAM JN SIGNAL WX98,87071
BKA,BOOKHAM,BOOKHAM,87072
XFF,EFNGJNK,EFFINGHAM JUNCTION NECK,87073
CSD,CBHMSDA,COBHAM & STOKE D'ABERNON,87074
,PTRS8,PETERSFIELD SIGNAL 8,87075
,PTRSUS,PETERSFIELD UP SIDING CE,87075
,EFNG322,EFFINGHAM JN SIGNAL GD1322,87076
,SHAL341,SHALFORD GD1341,87077
,GUIL308,GUILDFORD SIGNAL GD1308,87078
,STAI467,STAINES SIGNAL F467,87079
,SHALFDJ,SHALFORD JN,87080
SFR,SHALFD,SHALFORD,87081
CHL,CHLWTH,CHILWORTH,87082
GOM,GOMSHAL,GOMSHALL,87083
DKT,DRKGW,DORKING WEST,87084
BTO,BTCHWTH,BETCHWORTH,87085
DPD,DEPDENE,DORKING DEEPDENE,87086
,BRACETC,BRACKNELL ETC,87087
,STAINSE,STAINES SIDINGS ENT-EXIT,87088
REI,REIGATE,REIGATE,87089
,BTCHUCE,BETCHWORTH UP CE SIDING,87090
,REIG17,REIGATE SHUNT SIGNAL 17,87091
,ASCO506,ASCOT SIGNAL F506,87092
,FRIMLYJ,FRIMLEY JN,87093
,CMBL4,CAMBERLEY SHUNT SIGNAL 4,87094
,ASCO504,ASCOT SIGNAL F504,87095
,ASCODS,ASCOT DOWN SIDING,87096
FML,FRIMLEY,FRIMLEY,87097
,ASCO501,ASCOT SIGNAL F501,87098
CAM,CMBLEY,CAMBERLEY,87099
MAO,MHERON,MARTINS HERON,87100
BCE,BRACKNL,BRACKNELL,87101
BAG,BAGSHOT,BAGSHOT,87102
ACT,ASCOT,ASCOT,87103
SNG,SUNNGDL,SUNNINGDALE,87104
LNG,LNGCROS,LONGCROSS,87105
VIR,VRGNWTR,VIRGINIA WATER,87106
EGH,EGHAM,EGHAM,87107
WRY,WRYSBRY,WRAYSBURY,87108
SNY,SUNYMDS,SUNNYMEADS,87109
DAT,DATCHET,DATCHET,87110
WNR,WSORAER,WINDSOR & ETON RIVERSIDE,87111
,VRGN491,VIRGINIA WATER SIGNAL F491,87112
XFY,STAINSD,STAINES C.H.S.,87113
SNS,STAINES,STAINES,87114
,STAINSS,STAINES STATION,87114
,STAIDGL,STAINES D.G.L.,87115
XFZ,STAINUL,STAINES UP LOOP,87116
AFS,ASFDMSX,ASHFORD (MIDDLESEX),87117
,STAI478,STAINES SIGNAL F478,87118
,TWCKNMJ,TWICKENHAM JN,87119
,FELTGS,FELTHAM GRID SIDING,87120
FEL,FELTHAM,FELTHAM,87121
,FELTHMJ,FELTHAM JN,87122
ZAE,ALDGEST,ALDGATE EAST LT,87123
,RICH398,RICHMOND SIGNAL F398,87124
,WHTTONJ,WHITTON JN,87125
WTN,WHTTON,WHITTON,87126
,HOUN443,HOUNSLOW SIGNAL F443,87127
,HOUN448,HOUNSLOW SIGNAL F448,87127
,TWCK401,TWICKENHAM SIGNAL F401,87128
,TWCK403,TWICKENHAM SIGNAL F403,87128
,TWCK406,TWICKENHAM SIGNAL F406,87129
ZTU,TRNHMGN,TURNHAM GREEN LT,87130
TWI,TWCKNHM,TWICKENHAM,87131
,RICHNLL,RICHMOND,87132
SMG,STMGTS,ST MARGARETS,87133
STW,STRWBYH,STRAWBERRY HILL,87134
RMD,RICHMND,RICHMOND,87135
KWG,KEWGRDN,KEW GARDENS,87136
NSH,NSHEEN,NORTH SHEEN,87137
GUN,GNRSBRY,GUNNERSBURY,87138
MTL,MRTLKE,MORTLAKE,87139
,HOUNSLJ,HOUNSLOW JN,87140
HOU,HOUNSLW,HOUNSLOW,87141
ISL,ISLEWTH,ISLEWORTH,87142
SYL,SYONLA,SYON LANE,87143
BFD,BNTFORD,BRENTFORD,87144
,OKEWJN,OLD KEW JN,87145
,NEWKEWJ,NEW KEW JN,87146
KWB,KEWBDGE,KEW BRIDGE,87147
CHK,CHISWCK,CHISWICK,87148
BNS,BARNES,BARNES,87149
BNI,BNSBDGE,BARNES BRIDGE,87150
XSX,STRWBHD,STRAWBERRY HILL C.S.D.,87151
PUT,PUTNEY,PUTNEY,87152
,POINTPJ,POINT PLEASANT JN,87153
WNT,WDWTOWN,WANDSWORTH TOWN,87153
KMP,KMPTNPK,KEMPTON PARK,87154
SHP,SHEPRTN,SHEPPERTON,87155
UPH,UHALIFD,UPPER HALLIFORD,87156
SUU,SUNBURY,SUNBURY,87157
HMP,HAMPTON,HAMPTON,87158
TED,TEDNGTN,TEDDINGTON,87159
FLW,FULWELL,FULWELL,87160
KNG,KGSTON,KINGSTON,87161
HMW,HAMWICK,HAMPTON WICK,87162
NBT,NRBITON,NORBITON,87163
,SHCKLGJ,SHACKLEGATE JN,87164
,FULWELJ,FULWELL JN,87165
,BARN090,BARNES SIGNAL W1090,87166
,KGST412,KINGSTON SIGNAL F412,87167
,KGST410,KINGSTON SIGNAL F410,87168
NEM,NEWMLDN,NEW MALDEN,87169
BRS,BRLANDS,BERRYLANDS,87170
SUR,SURBITN,SURBITON,87171
,SURBETC,SURBITON E.T.C.,87172
,SURB104,SURBITON SIGNAL WK1104,87174
,SURB534,SURBITON SIGNAL WK534,87175
,SURB106,SURBITON SIGNAL WK1106,87176
,HCRTJN,HAMPTON COURT JN.,87177
,LILBDGE,LILLIE BRIDGE DEPOT LUL,87178
THD,TDITTON,THAMES DITTON,87179
,SHCK414,SHACKLEGATE JN SIGNAL F414,87180
HMC,HCRT,HAMPTON COURT,87181
,FELT453,FELTHAM SIGNAL F453,87182
,FULW417,FULWELL SIGNAL F417,87183
,SHCK413,SHACKLEGATE JN SIGNAL F413,87184
HYW,HNCHLYW,HINCHLEY WOOD,87185
ZMH,MANSNHS,MANSION HOUSE LT,87186
,STWTUPL,STEWARTS LANE DPT UP LOOP,87187
,STRW91,STRAWBERRY HILL SIG. F91,87188
CLG,CLYGATE,CLAYGATE,87189
,VICT47,VICTORIA SIGNAL VS47,87190
,VICT45,VICTORIA SIGNAL VS45,87191
,VICTGEE,VICTORIA GROSVENOR ENT-EXT,87192
OXS,OXSHOTT,OXSHOTT,87193
,VICT808,VICTORIA SIGNAL VS808,87194
,VICT35,VICTORIA SIGNAL VS35,87195
XVC,VICTCS,VICTORIA C.H.S.,87196
,VICTBAL,VICTORIA (BALLAST),87197
,VICTGCS,VICTORIA GROSVENOR SHED,87198
,BATRSPJ,BATTERSEA PIER JN.,87199
,GNRS51,GUNNERSBURY SIGNAL GB51,87200
,VICT10,VICTORIA PLAT 10,87201
,VICT11,VICTORIA PLAT 11,87201
,VICT12,VICTORIA PLAT 12,87201
,VICT13,VICTORIA PLAT 13,87201
,VICT14,VICTORIA PLAT 14,87201
,VICT15,VICTORIA PLAT 15,87201
,VICT16,VICTORIA PLAT 16,87201
,VICT17,VICTORIA PLAT 17,87201
,VICT18,VICTORIA PLAT 18,87201
,VICT19,VICTORIA PLAT 19,87201
,VICT9,VICTORIA PLAT 9,87201
,VICTCRB,VICTORIA CARRIAGE RD BDGE,87201
,VICTCRS,VICTORIA CARR RD STH,87201
XVR,VICTRCR,VICTORIA CARRIAGE ROAD,87201
VIC,VICTRIA,LONDON VICTORIA,87201
,VICTRIC,LONDON VICTORIA,87201
,VICTRIE,LONDON VICTORIA,87201
BAK,BATRSPK,BATTERSEA PARK,87203
,GRVRBGJ,GROSVENOR BRIDGE JN,87204
,LTCHMRJ,LATCHMERE JN,87205
,CLPHPHS,CLAPHAM JN PIG HILL SDGS,87206
WWR,WNDSWRD,WANDSWORTH ROAD,87207
XVJ,VOLTRDJ,VOLTAIRE ROAD JN.,87208
CLP,CLPHHS,CLAPHAM HIGH STREET,87209
,WATRBAL,WATERLOO (BALLAST),87210
,WATRCLJ,WATERLOO CARLISLE LANE JN,87210
XWA,WATRCHS,WATERLOO C.H.S.,87211
,WATRLMN,LONDON WATERLOO,87212
WAT,WATRLOO,LONDON WATERLOO,87212
,WATRLOW,LONDON WATERLOO,87212
WIT,WATRINT,LONDON WATERLOO (INT),87213
VXH,VAUXHAL,VAUXHALL,87214
,VAUXHLM,VAUXHALL,87214
,VAUXHLW,VAUXHALL,87214
,NINELMJ,NINE ELMS JN,87215
QRB,QTRDBAT,QUEENSTOWN RD.(BATTERSEA),87216
,WLNDNJN,WEST LONDON JN,87217
,WLNDNJW,WEST LONDON JN,87217
,CLPH041,CLAPHAM JN SIG W1041,87218
,CLPH149,CLAPHAM JUNC SIGNAL W149,87219
,CLPHCMD,CLAPHAM JN. CAR. M.D.,87219
XCP,CLPHJCS,CLAPHAM JN. C.S.,87219
,CLPHJLP,CLAPHAM JUNCTION LOOP,87219
,CLPHMJ1,CLAPHAM JUNCTION PLATS 0-2,87219
,CLPHMJ2,CLAPHAM JUNCTION,87219
,CLPHMJC,CLAPHAM JUNCTION,87219
,CLPHMJM,CLAPHAM JUNCTION,87219
CLJ,CLPHMJN,CLAPHAM JUNCTION,87219
,CLPHMJW,CLAPHAM JUNCTION,87219
WSW,WANDCMN,WANDSWORTH COMMON,87220
XYM,CLPHMYM,CLAPHAM YARD,87221
BAL,BALHAM,BALHAM,87222
,CLPHS47,CLAPHAM JN SIGNAL W1047,87223
,CLPHS49,CLAPHAM JN SIGNAL 1049,87223
,CLPH147,CLAPHAM JUNCTION SIG VC147,87224
,BALHJN,BALHAM JN,87225
,WATR030,LONDON WATERLOO SIG W1030,87226
,CLPHMMS,CLAPHAM JN MIDDLE SDG,87227
,CLPHMYS,CLAPHAM YARD SIDINGS,87228
,QTRD927,QUEENSTOWN ROAD SIG W927,87229
,POUPRTJ,POUPARTS JN,87230
,LINFST,LINFORD STREET JN,87231
,LNGHDGJ,LONGHEDGE JN,87232
,FACTRYJ,FACTORY JN,87233
,STWTJN,STEWARTS LANE JN,87234
,STWTDAY,STEWARTS LANE - DAYS,87235
,STWTLAM,STEWARTS LANE MARCON R M C,87236
,STWTBS,STEWARTS LANE BERTHING SDG,87237
,STWT,STEWARTS LANE,87238
XSL,STWTTMD,STEWARTS LANE T&R.S.M.D,87238
,BATRPHS,BATTERSEA PIER C.H.S.,87239
,BATRSH,BATTERSEA PIER STAFF HALT,87239
,BATRSYD,BATTERSEA LOOP,87239
,CTMS664,CITY THAMESLINK SIG VC664,87240
,SFLDCHS,SMITHFIELD C H S,87241
ZPU,EPUTNEY,EAST PUTNEY,87243
CTK,CTMSLNK,CITY THAMESLINK,87244
BFR,BLFR,LONDON BLACKFRIARS,87245
EPH,ELPHNAC,ELEPHANT & CASTLE,87246
LGJ,LBGHJN,LOUGHBOROUGH JN,87247
BRX,BRIXTON,BRIXTON,87248
HNH,HERNEH,HERNE HILL,87249
EAD,ERLFLD,EARLSFIELD,87250
WPK,WDNPK,WIMBLEDON PARK,87251
,WDONDWX,W'DON DPT WASHER ROAD EXIT,87252
,WDONEDP,EAST WIMBLEDON,87252
,WDONEMU,WIMBLEDON E.M.U.D.,87252
,DRNSFDR,DURNSFORD ROAD STAFF HALT,87253
,WDONDSX,W'DON DPT WIMBLDN STN EXIT,87253
SFS,STHFLDS,SOUTHFIELDS,87254
,HERN602,HERNE HILL SIGNAL VS602,87255
,SHPSHLA,SHEPHERDS LANE JN,87256
,WDON135,WDON PK D NO.1 UCS,87257
,HERNHSD,HERNE HILL SIDING,87258
,WDNLUL,WIMBLEDON L.U.L.,87259
XWP,WDONCSD,WIMBLEDON PARK C.S.D.,87260
,WDON,WIMBLEDON,87261
,WDON181,WIMBLEDON SIGNAL W181,87261
XWD,WDONCHS,WIMBLEDON C.H.S.,87261
,WDONSS,WIMBLEDON SOUTH C.H.S.,87261
,WDONTC,WIMBLEDON T.C.,87261
,WIMB827,WIMBLEDON SIGNAL VC827,87261
WIM,WIMBLDN,WIMBLEDON,87261
,WDONWJ,WIMBLEDON WEST JN,87262
,HERN595,HERNE HILL SIGNAL VS595,87264
,WDON105,WIMBLEDON SIGNAL W1105,87265
,WDON101,WIMBLEDON SIGNAL W1101,87266
,WDONPDS,WIMBLEDON PARK DEPOT SDGS,87267
,FULW411,FULWELL SIGNAL F411,87268
,WATR912,WATERLOO SIGNAL W912,87269
,CLPH141,CLAPHAM JN SIGNAL 141,87270
RAY,RAYNSPK,RAYNES PARK,87271
,STWT567,STEWARTS LANE SIG VS567,87272
,STWT569,STEWARTS LANE SIG VS569,87273
,STWTGBR,STEWARTS LANE TARMAC GBRF,87274
,WNDS84,WANDSWORTH ROAD SIG VS84,87275
,CLPH143,CLAPHAM JUNCTION SIG VC143,87276
,STWTFHH,STEWARTS LANE TARMAC FHH,87277
,BATR571,BATTERSEA REVRSIBLE GPL571,87278
